CAPRS,Story/Defect,Release,Iteration,Backlog Group
IM10860471,S-10996,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 6,Evidence Request and Receipt
IM10864315,D-01521,0.91.0 - 4/1/17 Release at end of PI5,PI5-Sprint 5,Delivery & Delivery Failure
IM10874265,S-11650,0.91.0 - 4/1/17 Release at end of PI5,PI5-Sprint 7,Architecture
IM10877224,D-01619,0.91.1 - 5/6/17 Maintenance Release during PI6,PI6-Sprint 2,Fiscal
IM10877224,D-01767,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 2,Fiscal
IM10984101,D-01702,0.91.1 - 5/6/17 Maintenance Release during PI6,PI6-Sprint 2,Fiscal
IM10987286,S-12323,0.91.1 - 5/6/17 Maintenance Release during PI6,PI6-Sprint 1,Architecture
IM10987286,S-12364,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 1,Fiscal
IM10988998,S-12323,0.91.1 - 5/6/17 Maintenance Release during PI6,PI6-Sprint 1,Architecture
IM10988998,S-12364,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 1,Fiscal
IM10989624,D-01764,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 4,Correspondence
IM10990695,S-12555,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 5,Fiscal SPA Interface
IM10990695,S-13027,0.91.2 - 6/3/17 Maintenance Release during PI6,PI6-Sprint 5,Fiscal SPA Interface
IM10991593,S-12550,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 6,UX
IM10991593,S-12660,0.92.1 - 8/5/17 Maintenance Release during PI7,PI6-Sprint 6,Fiscal
IM10991623,D-01799,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 5,Evidence Request and Receipt
IM10991623,S-12709,1.3.0 - 4/28/18 Release at end of PI9,,Evidence Request and Receipt
IM10991623,S-12770,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 5,Fiscal
IM10991623,S-12771,0.92.1 - 8/5/17 Maintenance Release during PI7,PI6-Sprint 6,Fiscal
IM10991956,D-01783,0.91.1 - 5/6/17 Maintenance Release during PI6,PI6-Sprint 2,Architecture
IM10992811,S-10996,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 6,Evidence Request and Receipt
IM10992891,D-01792,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 3,Correspondence
IM10994332,D-01761,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 2,Correspondence
IM10998492,S-10288,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 2,Delivery & Delivery Failure
IM10998988,D-01786,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 5,Fiscal
IM11003250,D-01851,0.92.1 - 8/5/17 Maintenance Release during PI7,PI7-Sprint 1,Fiscal
IM11003379,S-13688,1.3.0 - 4/28/18 Release at end of PI9,,Fiscal
IM11003379,S-13689,1.3.0 - 4/28/18 Release at end of PI9,,Fiscal
IM11003379,S-13690,1.3.0 - 4/28/18 Release at end of PI9,,Fiscal
IM11003379,S-13691,1.3.0 - 4/28/18 Release at end of PI9,,Fiscal
IM11003672,D-01850,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 5,Receipt and Assign
IM11004579,D-01855,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 5,Architecture
IM11006968,S-12172,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 2,Correspondence
IM11006981,S-12172,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 2,Correspondence
IM11007222,S-13176,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 5,Federal QA
IM11007222,S-13177,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 6,Federal QA
IM11008311,S-12660,0.92.1 - 8/5/17 Maintenance Release during PI7,PI6-Sprint 6,Fiscal
IM11017653,S-13654,0.92.1 - 8/5/17 Maintenance Release during PI7,PI7-Sprint 1,Correspondence
IM11018044,D-02017,0.92.1 - 8/5/17 Maintenance Release during PI7,PI7-Sprint 2,Correspondence
IM11018137,D-01984,0.92.1 - 8/5/17 Maintenance Release during PI7,PI7-Sprint 1,Correspondence
IM11018203,D-01995,0.92.1 - 8/5/17 Maintenance Release during PI7,PI7-Sprint 1,Receipt and Assign
IM11018203,D-01997,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 2,Receipt and Assign
IM11018224,D-02016,0.92.1 - 8/5/17 Maintenance Release during PI7,PI7-Sprint 2,Correspondence
IM11018500,D-02042,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 6,Correspondence
IM11020902,S-14227,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 4,Evidence Request and Receipt
IM11020902,S-14231,0.92.2 - 9/2/17 Maintenance Release during PI7,PI7-Sprint 3,Evidence Request and Receipt
IM11021918,D-02035,0.92.1 - 8/5/17 Maintenance Release during PI7,PI7-Sprint 2,CE:  Consultative Examinations
IM11022507,D-02021,0.92.2 - 9/2/17 Maintenance Release during PI7,PI7-Sprint 3,Dashboard
IM11022880,D-02064,0.92.2 - 9/2/17 Maintenance Release during PI7,PI7-Sprint 3,Correspondence
IM11024306,D-02021,0.92.2 - 9/2/17 Maintenance Release during PI7,PI7-Sprint 3,Dashboard
IM11024637,D-02021,0.92.2 - 9/2/17 Maintenance Release during PI7,PI7-Sprint 3,Dashboard
IM11025236,D-02021,0.92.2 - 9/2/17 Maintenance Release during PI7,PI7-Sprint 3,Dashboard
IM11025717,S-14262,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 4,Correspondence
IM11025717,S-14264,0.92.2 - 9/2/17 Maintenance Release during PI7,PI7-Sprint 4,Correspondence
IM11025719,D-02107,0.92.2 - 9/2/17 Maintenance Release during PI7,PI7-Sprint 4,Delivery & Delivery Failure
IM11025719,D-02108,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 5,Delivery & Delivery Failure
IM11026726,D-02107,0.92.2 - 9/2/17 Maintenance Release during PI7,PI7-Sprint 4,Delivery & Delivery Failure
IM11026726,D-02108,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 5,Delivery & Delivery Failure
IM11026961,D-02061,0.92.2 - 9/2/17 Maintenance Release during PI7,PI7-Sprint 3,CE:  Consultative Examinations
IM11027028,D-02101,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 4,Case Analysis
IM11027062,S-14228,0.92.2 - 9/2/17 Maintenance Release during PI7,PI7-Sprint 3,CE:  Consultative Examinations
IM11027062,S-14341,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 5,CE:  Consultative Examinations
IM11027356,S-14227,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 4,Evidence Request and Receipt
IM11027356,S-14231,0.92.2 - 9/2/17 Maintenance Release during PI7,PI7-Sprint 3,Evidence Request and Receipt
IM11028456,D-02121,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 5,Architecture
IM11029390,D-02021,0.92.2 - 9/2/17 Maintenance Release during PI7,PI7-Sprint 3,Dashboard
IM11029415,D-02122,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 4,Dashboard
IM11029431,D-02021,0.92.2 - 9/2/17 Maintenance Release during PI7,PI7-Sprint 3,Dashboard
IM11029443,D-02176,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 6,Delivery & Delivery Failure
IM11029646,D-02021,0.92.2 - 9/2/17 Maintenance Release during PI7,PI7-Sprint 3,Dashboard
IM11030173,D-02176,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 6,Delivery & Delivery Failure
IM11030229,D-02131,0.92.2 - 9/2/17 Maintenance Release during PI7,PI7-Sprint 4,Correspondence
IM11031083,D-02021,0.92.2 - 9/2/17 Maintenance Release during PI7,PI7-Sprint 3,Dashboard
IM11033155,S-14580,0.93.1 - 11/18/17 Release during PI8,PI8-Sprint 1,Fiscal
IM11033155,S-14939,1.0.0 - 1/27/18 Release at end of PI8,Kanban,Fiscal
IM11033189,S-14569,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 6,CE:  Consultative Examinations
IM11033273,D-02157,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 5,Correspondence
IM11035389,S-14555,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 5,Architecture
IM11035460,S-14456,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 5,Case Analysis
IM11036777,S-15070,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 6,Vendor
IM11037034,S-14907,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 6,Fiscal
IM11037067,S-14851,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 6,Vendor
IM11037225,D-02211,0.93.1 - 11/18/17 Release during PI8,PI8-Sprint 1,Evidence Request and Receipt
IM11037225,D-02239,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 2,Evidence Request and Receipt
IM11037225,D-02242,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 2,Evidence Request and Receipt
IM11037225,S-14851,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 6,Vendor
IM11037792,S-14946,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 6,Vendor
IM11038800,S-14984,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 1,Correspondence
IM11038812,D-02238,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 2,Evidence Request and Receipt
IM11038812,D-02241,0.93.1 - 11/18/17 Release during PI8,PI8-Sprint 2,Evidence Request and Receipt
IM11039749,S-13952,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 5,Evidence Request and Receipt
IM11039973,D-02244,0.93.1 - 11/18/17 Release during PI8,PI8-Sprint 1,Correspondence
IM11040091,S-14980,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 6,Architecture
IM11040367,S-14995,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 6,Architecture
IM11040453,D-02090,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 3,Receipt and Assign
IM11041436,S-15096,1.0.0 - 1/27/18 Release at end of PI8,Kanban,Fiscal SPA Interface
IM11041436,S-15101,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 6,Fiscal SPA Interface
IM11042061,S-15158,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 6,Correspondence
IM11042577,S-15200,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 1,Fiscal
IM11042894,S-15214,1.3.0 - 4/28/18 Release at end of PI9,,Evidence Request and Receipt
IM11043000,S-15324,1.0.0 - 1/27/18 Release at end of PI8,Kanban,CE:  Consultative Examinations
IM11043000,S-15341,1.0.0 - 1/27/18 Release at end of PI8,Kanban,Delivery & Delivery Failure
IM11043000,S-15420,0.93.1 - 11/18/17 Release during PI8,PI8-Sprint 2,Delivery & Delivery Failure
IM11043523,D-02280,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 1,Architecture
IM11043539,S-15282,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 1,Architecture
IM11043699,S-10252,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 3,UAT
IM11043699,S-15330,0.93.1 - 11/18/17 Release during PI8,PI8-Sprint 2,UAT
IM11043719,D-02285,0.93.1 - 11/18/17 Release during PI8,PI8-Sprint 2,Vendor
IM11043724,D-02286,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 5,Fiscal
IM11043724,D-02287,0.93.1 - 11/18/17 Release during PI8,PI8-Sprint 2,Fiscal
IM11043724,S-15414,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 1,Fiscal SPA Interface
IM11043724,S-15702,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 3,Fiscal SPA Interface
IM11044664,S-15364,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 1,Architecture
IM11044714,D-02292,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 4,UX
IM11044714,D-02294,0.93.1 - 11/18/17 Release during PI8,PI8-Sprint 2,UX
IM11044714,D-02296,0.93.1 - 11/18/17 Release during PI8,PI8-Sprint 2,Vendor
IM11044762,D-02292,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 4,UX
IM11044762,D-02294,0.93.1 - 11/18/17 Release during PI8,PI8-Sprint 2,UX
IM11044779,S-15400,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 1,Architecture
IM11045200,D-02298,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 4,Correspondence
IM11045200,D-02304,0.93.1 - 11/18/17 Release during PI8,PI8-Sprint 2,Correspondence
IM11045212,S-15324,1.0.0 - 1/27/18 Release at end of PI8,Kanban,CE:  Consultative Examinations
IM11045212,S-15341,1.0.0 - 1/27/18 Release at end of PI8,Kanban,Delivery & Delivery Failure
IM11045212,S-15420,0.93.1 - 11/18/17 Release during PI8,PI8-Sprint 2,Delivery & Delivery Failure
IM11045369,S-15418,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 1,Architecture
IM11045537,S-15490,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 3,Architecture
IM11045537,S-15492,0.93.1 - 11/18/17 Release during PI8,PI8-Sprint 2,Architecture
IM11045586,S-15442,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 1,Architecture
IM11045740,D-02301,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 4,Referrals
IM11045874,S-15521,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 4,Correspondence
IM11045874,S-15528,0.93.1 - 11/18/17 Release during PI8,PI8-Sprint 2,Correspondence
IM11045874,S-15898,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 5,Correspondence
IM11046148,S-15860,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 3,Vendor
IM11046227,S-15519,1.0.0 - 1/27/18 Release at end of PI8,Kanban,Fiscal SPA Interface
IM11046227,S-15520,0.93.1 - 11/18/17 Release during PI8,PI8-Sprint 2,Fiscal SPA Interface
IM11046227,S-15522,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 2,Fiscal SPA Interface
IM11046227,S-15555,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 4,Fiscal SPA Interface
IM11046227,S-15621,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 3,Fiscal SPA Interface
IM11046573,S-15683,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 3,Delivery & Delivery Failure
IM11046590,D-02329,1.0.0 - 1/27/18 Release at end of PI8,Kanban,Evidence Request and Receipt
IM11046594,S-15552,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 2,Architecture
IM11046679,D-02345,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 4,Case Analysis
IM11046690,D-02320,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 3,Correspondence
IM11046690,S-15675,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 4,Correspondence
IM11046690,S-15865,0.93.2 - 12/16/17 Release during PI8,PI8-Sprint 4,Correspondence
IM11047190,S-15595,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 2,Fiscal
IM11047190,S-15798,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 3,Architecture
IM11047791,S-15662,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 5,Fiscal
IM11047791,S-15673,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 5,Fiscal
IM11047791,S-15674,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 3,Fiscal
IM11047791,S-15708,0.93.2 - 12/16/17 Release during PI8,PI8-Sprint 4,Fiscal
IM11047791,S-15709,0.93.2 - 12/16/17 Release during PI8,PI8-Sprint 4,Fiscal
IM11047990,D-02325,1.0.0 - 1/27/18 Release at end of PI8,Kanban,Fiscal
IM11047990,D-02326,1.0.0 - 1/27/18 Release at end of PI8,Kanban,Fiscal
IM11047990,D-02327,0.93.1 - 11/18/17 Release during PI8,PI8-Sprint 2,Fiscal
IM11047990,D-02328,0.93.1 - 11/18/17 Release during PI8,PI8-Sprint 3,Fiscal
IM11047990,S-15610,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 2,Fiscal
IM11048247,S-15610,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 2,Fiscal
IM11049357,S-15703,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 3,Architecture
IM11049531,D-02353,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 5,Referrals
IM11050403,S-15823,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 3,Fiscal
IM11051636,S-15843,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 3,Architecture
IM11051817,S-15980,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 4,Case Analysis
IM11052035,S-15862,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 3,Architecture
IM11052058,S-15985,1.0.0 - 1/27/18 Release at end of PI8,Kanban,Correspondence
IM11052079,D-02374,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 4,CE:  Consultative Examinations
IM11052084,S-11319,PRU - Post PI10/Post Ramp Up,,Delivery & Delivery Failure
IM11052373,S-15880,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 4,Vendor
IM11052373,S-16050,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 4,Architecture
IM11052467,D-02377,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 5,Correspondence
IM11052467,D-02378,0.93.1 - 11/18/17 Release during PI8,PI8-Sprint 4,Correspondence
IM11052467,D-02379,0.93.2 - 12/16/17 Release during PI8,PI8-Sprint 4,Correspondence
IM11053050,S-07539,1.3.0 - 4/28/18 Release at end of PI9,,Evidence Request and Receipt
IM11053050,S-16008,1.3.0 - 4/28/18 Release at end of PI9,,Evidence Request and Receipt
IM11053250,S-15928,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 4,Architecture
IM11053389,S-15959,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 4,Delivery & Delivery Failure
IM11053693,S-16006,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 4,Fiscal
IM11053826,S-16107,1.0.0 - 1/27/18 Release at end of PI8,Kanban,Correspondence
IM11055516,S-16053,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 4,Fiscal
IM11055882,S-16102,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 5,Architecture
IM11056588,S-16122,1.0.0 - 1/27/18 Release at end of PI8,Kanban,Fiscal SPA Interface
IM11057024,S-17159,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 5,Architecture
IM11057026,S-17159,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 5,Architecture
IM11057164,D-02430,1.0.0 - 1/27/18 Release at end of PI8,Kanban,Evidence Request and Receipt
IM11057164,S-17175,1.0.0 - 1/27/18 Release at end of PI8,Kanban,Architecture
